Model,TBS2102B
Firmware Version,v1.31.14

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-05,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.1
Label,,
TIME,CH1,CH2
-1.600e-02,-1.1,0.108
-1.598e-02,-1.06,0.128
-1.597e-02,-1.02,0.14
-1.595e-02,-1.02,0.16
-1.594e-02,-0.98,0.172
-1.592e-02,-0.94,0.188
-1.590e-02,-0.86,0.2
-1.589e-02,-0.86,0.208
-1.587e-02,-0.8,0.22
-1.586e-02,-0.7,0.232
-1.584e-02,-0.64,0.236
-1.582e-02,-0.58,0.244
-1.581e-02,-0.48,0.248
-1.579e-02,-0.36,0.252
-1.578e-02,-0.3,0.252
-1.576e-02,-0.18,0.252
-1.574e-02,-0.06,0.244
-1.573e-02,0.04,0.24
-1.571e-02,0.14,0.228
-1.570e-02,0.26,0.224
-1.568e-02,0.38,0.208
-1.566e-02,0.46,0.192
-1.565e-02,0.58,0.176
-1.563e-02,0.7,0.16
-1.562e-02,0.78,0.136
-1.560e-02,0.84,0.116
-1.558e-02,0.92,0.096
-1.557e-02,1.04,0.072
-1.555e-02,1.08,0.048
-1.554e-02,1.1,0.02
-1.552e-02,1.16,-0.004
-1.550e-02,1.22,-0.028
-1.549e-02,1.2,-0.052
-1.547e-02,1.22,-0.076
-1.546e-02,1.24,-0.1
-1.544e-02,1.22,-0.124
-1.542e-02,1.16,-0.144
-1.541e-02,1.14,-0.164
-1.539e-02,1.12,-0.184
-1.538e-02,1.08,-0.196
-1.536e-02,0.98,-0.212
-1.534e-02,0.92,-0.224
-1.533e-02,0.86,-0.236
-1.531e-02,0.78,-0.244
-1.530e-02,0.64,-0.252
-1.528e-02,0.54,-0.256
-1.526e-02,0.46,-0.256
-1.525e-02,0.34,-0.252
-1.523e-02,0.2,-0.252
-1.522e-02,0.1,-0.248
-1.520e-02,0,-0.236
-1.518e-02,-0.12,-0.228
-1.517e-02,-0.24,-0.22
-1.515e-02,-0.34,-0.204
-1.514e-02,-0.44,-0.188
-1.512e-02,-0.54,-0.168
-1.510e-02,-0.66,-0.152
-1.509e-02,-0.72,-0.132
-1.507e-02,-0.76,-0.112
-1.506e-02,-0.86,-0.092
-1.504e-02,-0.92,-0.072
-1.502e-02,-0.94,-0.052
-1.501e-02,-0.98,-0.032
-1.499e-02,-1.04,-0.012
-1.498e-02,-1.06,0.004
-1.496e-02,-1.06,0.028
-1.494e-02,-1.06,0.048
-1.493e-02,-1.1,0.068
-1.491e-02,-1.08,0.084
-1.490e-02,-1.06,0.104
-1.488e-02,-1.06,0.124
-1.486e-02,-1.08,0.136
-1.485e-02,-1.02,0.152
-1.483e-02,-0.98,0.168
-1.482e-02,-0.96,0.18
-1.480e-02,-0.92,0.192
-1.478e-02,-0.86,0.204
-1.477e-02,-0.8,0.22
-1.475e-02,-0.76,0.224
-1.474e-02,-0.68,0.236
-1.472e-02,-0.58,0.244
-1.470e-02,-0.52,0.248
-1.469e-02,-0.44,0.252
-1.467e-02,-0.32,0.256
-1.466e-02,-0.22,0.252
-1.464e-02,-0.14,0.248
-1.462e-02,0,0.248
-1.461e-02,0.12,0.236
-1.459e-02,0.2,0.224
-1.458e-02,0.3,0.212
-1.456e-02,0.44,0.2
-1.454e-02,0.56,0.184
-1.453e-02,0.62,0.168
-1.451e-02,0.72,0.144
-1.450e-02,0.84,0.124
-1.448e-02,0.92,0.104
-1.446e-02,0.98,0.08
-1.445e-02,1.04,0.056
-1.443e-02,1.12,0.032
-1.442e-02,1.14,0.008
-1.440e-02,1.18,-0.016
-1.438e-02,1.22,-0.04
-1.437e-02,1.24,-0.064
-1.435e-02,1.22,-0.088
-1.434e-02,1.2,-0.112
-1.432e-02,1.24,-0.132
-1.430e-02,1.18,-0.156
-1.429e-02,1.12,-0.172
-1.427e-02,1.06,-0.188
-1.426e-02,1.02,-0.208
-1.424e-02,0.98,-0.22
-1.422e-02,0.86,-0.232
-1.421e-02,0.78,-0.24
-1.419e-02,0.72,-0.248
-1.418e-02,0.6,-0.252
-1.416e-02,0.48,-0.256
-1.414e-02,0.36,-0.26
-1.413e-02,0.28,-0.252
-1.411e-02,0.16,-0.248
-1.410e-02,0.02,-0.244
-1.408e-02,-0.08,-0.232
-1.406e-02,-0.16,-0.224
-1.405e-02,-0.28,-0.208
-1.403e-02,-0.42,-0.196
-1.402e-02,-0.5,-0.18
-1.400e-02,-0.6,-0.16
-1.398e-02,-0.66,-0.144
-1.397e-02,-0.78,-0.124
-1.395e-02,-0.84,-0.104
-1.394e-02,-0.88,-0.084
-1.392e-02,-0.94,-0.06
-1.390e-02,-0.98,-0.04
-1.389e-02,-1.02,-0.02
-1.387e-02,-1.04,0
-1.386e-02,-1.08,0.016
-1.384e-02,-1.08,0.036
-1.382e-02,-1.08,0.056
-1.381e-02,-1.08,0.076
-1.379e-02,-1.1,0.092
-1.378e-02,-1.08,0.112
-1.376e-02,-1.04,0.128
-1.374e-02,-1.04,0.148
-1.373e-02,-1.04,0.164
-1.371e-02,-0.96,0.172
-1.370e-02,-0.92,0.188
-1.368e-02,-0.9,0.2
-1.366e-02,-0.84,0.212
-1.365e-02,-0.76,0.224
-1.363e-02,-0.7,0.236
-1.362e-02,-0.64,0.24
-1.360e-02,-0.56,0.244
-1.358e-02,-0.44,0.248
-1.357e-02,-0.38,0.252
-1.355e-02,-0.28,0.252
-1.354e-02,-0.16,0.248
-1.352e-02,-0.06,0.248
-1.350e-02,0.02,0.24
-1.349e-02,0.16,0.228
-1.347e-02,0.28,0.224
-1.346e-02,0.36,0.204
-1.344e-02,0.48,0.192
-1.342e-02,0.6,0.172
-1.341e-02,0.7,0.156
-1.339e-02,0.78,0.136
-1.338e-02,0.86,0.116
-1.336e-02,0.96,0.092
-1.334e-02,1.02,0.072
-1.333e-02,1.06,0.044
-1.331e-02,1.14,0.016
-1.330e-02,1.18,-0.004
-1.328e-02,1.2,-0.028
-1.326e-02,1.2,-0.052
-1.325e-02,1.22,-0.08
-1.323e-02,1.24,-0.1
-1.322e-02,1.2,-0.124
-1.320e-02,1.18,-0.144
-1.318e-02,1.16,-0.164
-1.317e-02,1.12,-0.184
-1.315e-02,1.04,-0.196
-1.314e-02,0.98,-0.212
-1.312e-02,0.92,-0.228
-1.310e-02,0.86,-0.236
-1.309e-02,0.72,-0.244
-1.307e-02,0.64,-0.252
-1.306e-02,0.56,-0.256
-1.304e-02,0.46,-0.256
-1.302e-02,0.3,-0.256
-1.301e-02,0.2,-0.256
-1.299e-02,0.1,-0.248
-1.298e-02,-0.02,-0.24
-1.296e-02,-0.14,-0.228
-1.294e-02,-0.26,-0.216
-1.293e-02,-0.34,-0.2
-1.291e-02,-0.46,-0.184
-1.290e-02,-0.56,-0.172
-1.288e-02,-0.64,-0.152
-1.286e-02,-0.7,-0.132
-1.285e-02,-0.78,-0.112
-1.283e-02,-0.86,-0.092
-1.282e-02,-0.9,-0.072
-1.280e-02,-0.94,-0.048
-1.278e-02,-1,-0.028
-1.277e-02,-1.04,-0.008
-1.275e-02,-1.04,0.008
-1.274e-02,-1.06,0.028
-1.272e-02,-1.08,0.048
-1.270e-02,-1.1,0.068
-1.269e-02,-1.08,0.084
-1.267e-02,-1.06,0.108
-1.266e-02,-1.08,0.12
-1.264e-02,-1.04,0.136
