Model,TBS2102B
Firmware Version,v1.31.14

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-05,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,0.002
Label,,
TIME,CH1,CH2
-1.600e-02,0.008,0.00264
-1.598e-02,-0.012,0.00176
-1.597e-02,-0.032,0.00192
-1.595e-02,-0.012,0.002
-1.594e-02,0.004,0.00152
-1.592e-02,-0.02,0.002
-1.590e-02,-0.024,0.00256
-1.589e-02,-0.004,0.00184
-1.587e-02,0.004,0.00208
-1.586e-02,-0.028,0.0024
-1.584e-02,-0.024,0.00232
-1.582e-02,0.004,0.00216
-1.581e-02,-0.008,0.00176
-1.579e-02,-0.032,0.00216
-1.578e-02,-0.016,0.00152
-1.576e-02,0,0.002
-1.574e-02,-0.016,0.00304
-1.573e-02,-0.032,0.00184
-1.571e-02,-0.012,0.002
-1.570e-02,0,0.00224
-1.568e-02,-0.024,0.00184
-1.566e-02,-0.032,0.00216
-1.565e-02,-0.004,0.0024
-1.563e-02,-0.004,0.00288
-1.562e-02,-0.036,0.00256
-1.560e-02,-0.024,0.00264
-1.558e-02,-0.004,0.00264
-1.557e-02,-0.008,0.00232
-1.555e-02,-0.036,0.00224
-1.554e-02,-0.02,0.00312
-1.552e-02,0.004,0.00256
-1.550e-02,-0.024,0.00368
-1.549e-02,-0.036,0.0028
-1.547e-02,-0.012,0.0032
-1.546e-02,0,0.0028
-1.544e-02,-0.028,0.00352
-1.542e-02,-0.028,0.00312
-1.541e-02,-0.008,0.0032
-1.539e-02,-0.004,0.00328
-1.538e-02,-0.036,0.00344
-1.536e-02,-0.024,0.00312
-1.534e-02,0,0.00344
-1.533e-02,-0.016,0.00336
-1.531e-02,-0.032,0.00392
-1.530e-02,-0.012,0.00352
-1.528e-02,0,0.00336
-1.526e-02,-0.02,0.00392
-1.525e-02,-0.028,0.00288
-1.523e-02,-0.008,0.00312
-1.522e-02,0.004,0.00344
-1.520e-02,-0.032,0.00368
-1.518e-02,-0.024,0.00256
-1.517e-02,0,0.00304
-1.515e-02,0,0.00384
-1.514e-02,-0.032,0.00256
-1.512e-02,-0.016,0.00256
-1.510e-02,0.004,0.0024
-1.509e-02,-0.012,0.00248
-1.507e-02,-0.028,0.00232
-1.506e-02,-0.008,0.00184
-1.504e-02,0.004,0.00256
-1.502e-02,-0.02,0.00264
-1.501e-02,-0.028,0.00176
-1.499e-02,0,0.00184
-1.498e-02,0,0.0024
-1.496e-02,-0.028,0.00216
-1.494e-02,-0.024,0.00128
-1.493e-02,0,0.00208
-1.491e-02,-0.004,0.002
-1.490e-02,-0.032,0.00176
-1.488e-02,-0.016,0.00168
-1.486e-02,0.008,0.00152
-1.485e-02,-0.016,0.00224
-1.483e-02,-0.036,0.00176
-1.482e-02,-0.008,0.00176
-1.480e-02,0.004,0.00296
-1.478e-02,-0.028,0.00248
-1.477e-02,-0.032,0.00248
-1.475e-02,-0.004,0.00256
-1.474e-02,0,0.00208
-1.472e-02,-0.032,0.00256
-1.470e-02,-0.032,0.00232
-1.469e-02,0,0.00264
-1.467e-02,-0.012,0.00288
-1.466e-02,-0.036,0.00304
-1.464e-02,-0.02,0.00296
-1.462e-02,-0.004,0.0028
-1.461e-02,-0.02,0.00344
-1.459e-02,-0.036,0.00304
-1.458e-02,-0.016,0.00256
-1.456e-02,0,0.0032
-1.454e-02,-0.032,0.0028
-1.453e-02,-0.032,0.00296
-1.451e-02,-0.004,0.00344
-1.450e-02,-0.004,0.00296
-1.448e-02,-0.032,0.00328
-1.446e-02,-0.02,0.00272
-1.445e-02,-0.004,0.00352
-1.443e-02,-0.012,0.00328
-1.442e-02,-0.036,0.00288
-1.440e-02,-0.016,0.00288
-1.438e-02,0,0.00272
-1.437e-02,-0.02,0.00344
-1.435e-02,-0.032,0.00328
-1.434e-02,-0.004,0.00232
-1.432e-02,0,0.0032
-1.430e-02,-0.032,0.00264
-1.429e-02,-0.024,0.00288
-1.427e-02,0,0.00224
-1.426e-02,0,0.00272
-1.424e-02,-0.032,0.0028
-1.422e-02,-0.02,0.00248
-1.421e-02,0.004,0.0028
-1.419e-02,-0.008,0.00288
-1.418e-02,-0.036,0.0016
-1.416e-02,-0.008,0.0016
-1.414e-02,0,0.0024
-1.413e-02,-0.02,0.00272
-1.411e-02,-0.024,0.00208
-1.410e-02,-0.004,0.00168
-1.408e-02,0.004,0.00232
-1.406e-02,-0.028,0.00248
-1.405e-02,-0.02,0.00136
-1.403e-02,0.004,0.00184
-1.402e-02,-0.004,0.00184
-1.400e-02,-0.032,0.00224
-1.398e-02,-0.016,0.00152
-1.397e-02,0.004,0.0012
-1.395e-02,-0.016,0.00128
-1.394e-02,-0.028,0.00144
-1.392e-02,-0.012,0.0016
-1.390e-02,0.004,0.00176
-1.389e-02,-0.024,0.002
-1.387e-02,-0.028,0.00192
-1.386e-02,0,0.00208
-1.384e-02,-0.004,0.00192
-1.382e-02,-0.032,0.002
-1.381e-02,-0.02,0.00128
-1.379e-02,-0.004,0.00216
-1.378e-02,-0.012,0.00232
-1.376e-02,-0.036,0.00208
-1.374e-02,-0.02,0.0024
-1.373e-02,0,0.0024
-1.371e-02,-0.02,0.00272
-1.370e-02,-0.032,0.0024
-1.368e-02,-0.008,0.00264
-1.366e-02,0,0.00216
-1.365e-02,-0.028,0.0028
-1.363e-02,-0.028,0.00232
-1.362e-02,-0.008,0.00192
-1.360e-02,0,0.00272
-1.358e-02,-0.032,0.00192
-1.357e-02,-0.024,0.00224
-1.355e-02,0,0.00208
-1.354e-02,-0.012,0.00184
-1.352e-02,-0.036,0.0024
-1.350e-02,-0.012,0.00208
-1.349e-02,0,0.00232
-1.347e-02,-0.024,0.0024
-1.346e-02,-0.028,0.00208
-1.344e-02,-0.008,0.00168
-1.342e-02,0,0.00232
-1.341e-02,-0.028,0.00216
-1.339e-02,-0.028,0.00176
-1.338e-02,0,0.00248
-1.336e-02,-0.008,0.00248
-1.334e-02,-0.032,0.00232
-1.333e-02,-0.016,0.00248
-1.331e-02,0,0.00224
-1.330e-02,-0.012,0.00312
-1.328e-02,-0.032,0.0016
-1.326e-02,-0.012,0.00144
-1.325e-02,0.004,0.0028
-1.323e-02,-0.024,0.00296
-1.322e-02,-0.032,0.00256
-1.320e-02,-0.004,0.00192
-1.318e-02,0,0.00288
-1.317e-02,-0.032,0.00296
-1.315e-02,-0.024,0.00224
-1.314e-02,-0.004,0.00304
-1.312e-02,-0.004,0.00248
-1.310e-02,-0.036,0.00216
-1.309e-02,-0.02,0.00264
-1.307e-02,0,0.00296
-1.306e-02,-0.016,0.00304
-1.304e-02,-0.036,0.00288
-1.302e-02,-0.008,0.0028
-1.301e-02,0,0.00344
-1.299e-02,-0.028,0.00328
-1.298e-02,-0.028,0.00248
-1.296e-02,-0.008,0.00288
-1.294e-02,0.004,0.00344
-1.293e-02,-0.032,0.00312
-1.291e-02,-0.024,0.00296
-1.290e-02,0,0.0024
-1.288e-02,-0.012,0.00312
-1.286e-02,-0.032,0.00304
-1.285e-02,-0.012,0.00224
-1.283e-02,0.004,0.00296
-1.282e-02,-0.02,0.00264
-1.280e-02,-0.028,0.0028
-1.278e-02,-0.008,0.00256
-1.277e-02,0.008,0.00224
-1.275e-02,-0.028,0.00248
-1.274e-02,-0.028,0.00192
-1.272e-02,0,0.002
