Model,TBS2102B
Firmware Version,v1.31.14

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-05,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.2,0.05
Label,,
TIME,CH1,CH2
-1.600e-02,-0.416,-0.072
-1.598e-02,-0.488,-0.06
-1.597e-02,-0.512,-0.05
-1.595e-02,-0.528,-0.038
-1.594e-02,-0.568,-0.026
-1.592e-02,-0.624,-0.014
-1.590e-02,-0.624,-0.002
-1.589e-02,-0.624,0.008
-1.587e-02,-0.656,0.02
-1.586e-02,-0.672,0.032
-1.584e-02,-0.656,0.042
-1.582e-02,-0.64,0.054
-1.581e-02,-0.664,0.064
-1.579e-02,-0.656,0.074
-1.578e-02,-0.624,0.082
-1.576e-02,-0.6,0.092
-1.574e-02,-0.6,0.1
-1.573e-02,-0.56,0.108
-1.571e-02,-0.512,0.114
-1.570e-02,-0.504,0.122
-1.568e-02,-0.472,0.128
-1.566e-02,-0.4,0.132
-1.565e-02,-0.352,0.134
-1.563e-02,-0.328,0.14
-1.562e-02,-0.264,0.14
-1.560e-02,-0.184,0.14
-1.558e-02,-0.136,0.14
-1.557e-02,-0.104,0.136
-1.555e-02,-0.024,0.134
-1.554e-02,0.056,0.13
-1.552e-02,0.088,0.124
-1.550e-02,0.144,0.118
-1.549e-02,0.232,0.11
-1.547e-02,0.296,0.104
-1.546e-02,0.32,0.092
-1.544e-02,0.376,0.082
-1.542e-02,0.456,0.074
-1.541e-02,0.496,0.06
-1.539e-02,0.512,0.048
-1.538e-02,0.568,0.036
-1.536e-02,0.624,0.024
-1.534e-02,0.616,0.01
-1.533e-02,0.632,-0.002
-1.531e-02,0.68,-0.014
-1.530e-02,0.696,-0.03
-1.528e-02,0.672,-0.042
-1.526e-02,0.672,-0.054
-1.525e-02,0.688,-0.066
-1.523e-02,0.672,-0.076
-1.522e-02,0.624,-0.088
-1.520e-02,0.608,-0.098
-1.518e-02,0.608,-0.106
-1.517e-02,0.552,-0.114
-1.515e-02,0.496,-0.12
-1.514e-02,0.464,-0.128
-1.512e-02,0.432,-0.132
-1.510e-02,0.36,-0.134
-1.509e-02,0.288,-0.136
-1.507e-02,0.248,-0.138
-1.506e-02,0.2,-0.138
-1.504e-02,0.12,-0.136
-1.502e-02,0.04,-0.134
-1.501e-02,0,-0.13
-1.499e-02,-0.048,-0.124
-1.498e-02,-0.128,-0.118
-1.496e-02,-0.2,-0.112
-1.494e-02,-0.24,-0.106
-1.493e-02,-0.28,-0.096
-1.491e-02,-0.368,-0.086
-1.490e-02,-0.416,-0.076
-1.488e-02,-0.432,-0.068
-1.486e-02,-0.48,-0.054
-1.485e-02,-0.544,-0.044
-1.483e-02,-0.56,-0.032
-1.482e-02,-0.576,-0.02
-1.480e-02,-0.608,-0.008
-1.478e-02,-0.648,0.002
-1.477e-02,-0.64,0.014
-1.475e-02,-0.64,0.028
-1.474e-02,-0.664,0.038
-1.472e-02,-0.672,0.048
-1.470e-02,-0.648,0.058
-1.469e-02,-0.64,0.068
-1.467e-02,-0.648,0.078
-1.466e-02,-0.632,0.086
-1.464e-02,-0.592,0.094
-1.462e-02,-0.56,0.104
-1.461e-02,-0.56,0.112
-1.459e-02,-0.512,0.118
-1.458e-02,-0.456,0.124
-1.456e-02,-0.44,0.13
-1.454e-02,-0.408,0.134
-1.453e-02,-0.328,0.138
-1.451e-02,-0.272,0.138
-1.450e-02,-0.248,0.138
-1.448e-02,-0.184,0.138
-1.446e-02,-0.096,0.138
-1.445e-02,-0.048,0.138
-1.443e-02,-0.008,0.132
-1.442e-02,0.064,0.126
-1.440e-02,0.144,0.12
-1.438e-02,0.176,0.114
-1.437e-02,0.232,0.106
-1.435e-02,0.312,0.098
-1.434e-02,0.384,0.088
-1.432e-02,0.392,0.078
-1.430e-02,0.456,0.068
-1.429e-02,0.528,0.056
-1.427e-02,0.552,0.042
-1.426e-02,0.568,0.03
-1.424e-02,0.616,0.016
-1.422e-02,0.664,0.004
-1.421e-02,0.648,-0.008
-1.419e-02,0.656,-0.022
-1.418e-02,0.696,-0.036
-1.416e-02,0.704,-0.046
-1.414e-02,0.664,-0.06
-1.413e-02,0.656,-0.072
-1.411e-02,0.672,-0.082
-1.410e-02,0.648,-0.092
-1.408e-02,0.584,-0.1
-1.406e-02,0.56,-0.11
-1.405e-02,0.552,-0.118
-1.403e-02,0.504,-0.124
-1.402e-02,0.416,-0.13
-1.400e-02,0.392,-0.134
-1.398e-02,0.344,-0.138
-1.397e-02,0.272,-0.138
-1.395e-02,0.2,-0.138
-1.394e-02,0.152,-0.138
-1.392e-02,0.112,-0.138
-1.390e-02,0.016,-0.132
-1.389e-02,-0.048,-0.128
-1.387e-02,-0.088,-0.122
-1.386e-02,-0.144,-0.116
-1.384e-02,-0.232,-0.11
-1.382e-02,-0.288,-0.1
-1.381e-02,-0.32,-0.092
-1.379e-02,-0.368,-0.084
-1.378e-02,-0.448,-0.072
-1.376e-02,-0.488,-0.06
-1.374e-02,-0.504,-0.05
-1.373e-02,-0.536,-0.038
-1.371e-02,-0.592,-0.026
-1.370e-02,-0.616,-0.014
-1.368e-02,-0.608,-0.002
-1.366e-02,-0.64,0.008
-1.365e-02,-0.664,0.02
-1.363e-02,-0.656,0.032
-1.362e-02,-0.648,0.044
-1.360e-02,-0.672,0.054
-1.358e-02,-0.672,0.064
-1.357e-02,-0.64,0.074
-1.355e-02,-0.616,0.084
-1.354e-02,-0.632,0.094
-1.352e-02,-0.592,0.1
-1.350e-02,-0.544,0.11
-1.349e-02,-0.52,0.116
-1.347e-02,-0.504,0.124
-1.346e-02,-0.448,0.128
-1.344e-02,-0.392,0.132
-1.342e-02,-0.376,0.136
-1.341e-02,-0.32,0.14
-1.339e-02,-0.248,0.14
-1.338e-02,-0.184,0.14
-1.336e-02,-0.16,0.14
-1.334e-02,-0.08,0.136
-1.333e-02,-0.008,0.136
-1.331e-02,0.04,0.13
-1.330e-02,0.088,0.124
-1.328e-02,0.168,0.118
-1.326e-02,0.24,0.112
-1.325e-02,0.272,0.102
-1.323e-02,0.328,0.092
-1.322e-02,0.408,0.082
-1.320e-02,0.456,0.072
-1.318e-02,0.472,0.06
-1.317e-02,0.536,0.048
-1.315e-02,0.584,0.036
-1.314e-02,0.608,0.024
-1.312e-02,0.616,0.008
-1.310e-02,0.656,-0.004
-1.309e-02,0.688,-0.016
-1.307e-02,0.672,-0.03
-1.306e-02,0.672,-0.042
-1.304e-02,0.696,-0.054
-1.302e-02,0.688,-0.068
-1.301e-02,0.648,-0.078
-1.299e-02,0.632,-0.088
-1.298e-02,0.632,-0.098
-1.296e-02,0.592,-0.108
-1.294e-02,0.528,-0.116
-1.293e-02,0.504,-0.122
-1.291e-02,0.48,-0.128
-1.290e-02,0.416,-0.132
-1.288e-02,0.344,-0.136
-1.286e-02,0.304,-0.138
-1.285e-02,0.264,-0.14
-1.283e-02,0.184,-0.14
-1.282e-02,0.096,-0.138
-1.280e-02,0.048,-0.134
-1.278e-02,0.008,-0.13
-1.277e-02,-0.08,-0.126
-1.275e-02,-0.152,-0.12
-1.274e-02,-0.184,-0.112
-1.272e-02,-0.24,-0.104
-1.270e-02,-0.32,-0.096
-1.269e-02,-0.368,-0.086
-1.267e-02,-0.4,-0.076
-1.266e-02,-0.44,-0.066
