Model,TBS2102B
Firmware Version,v1.31.14

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-05,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.5
Label,,
TIME,CH1,CH2
-1.314e-02,0.32,-0.42
-1.312e-02,0,-0.32
-1.310e-02,-0.32,-0.2
-1.309e-02,-0.52,-0.08
-1.307e-02,-0.72,0.02
-1.306e-02,-0.88,0.16
-1.304e-02,-0.96,0.28
-1.302e-02,-1,0.38
-1.301e-02,-1.04,0.48
-1.299e-02,-1,0.58
-1.298e-02,-0.88,0.68
-1.296e-02,-0.76,0.74
-1.294e-02,-0.6,0.78
-1.293e-02,-0.36,0.82
-1.291e-02,-0.08,0.84
-1.290e-02,0.16,0.88
-1.288e-02,0.52,0.84
-1.286e-02,0.88,0.8
-1.285e-02,1.2,0.76
-1.283e-02,1.48,0.7
-1.282e-02,1.8,0.62
-1.280e-02,2.04,0.54
-1.278e-02,2.2,0.44
-1.277e-02,2.36,0.34
-1.275e-02,2.4,0.22
-1.274e-02,2.44,0.12
-1.272e-02,2.4,0
-1.270e-02,2.4,-0.1
-1.269e-02,2.4,-0.2
-1.267e-02,2.36,-0.32
-1.266e-02,2.32,-0.42
-1.264e-02,2.36,-0.54
-1.262e-02,2.36,-0.64
-1.261e-02,2.36,-0.76
-1.259e-02,2.32,-0.86
-1.258e-02,2.32,-0.96
-1.256e-02,2.28,-1.04
-1.254e-02,2.2,-1.14
-1.253e-02,1.96,-1.24
-1.251e-02,1.72,-1.3
-1.250e-02,1.36,-1.36
-1.248e-02,0.96,-1.4
-1.246e-02,0.48,-1.42
-1.245e-02,0.04,-1.4
-1.243e-02,-0.4,-1.4
-1.242e-02,-0.76,-1.36
-1.240e-02,-1.04,-1.3
-1.238e-02,-1.16,-1.24
-1.237e-02,-1.12,-1.2
-1.235e-02,-0.88,-1.14
-1.234e-02,-0.6,-1.1
-1.232e-02,-0.2,-1.08
-1.230e-02,0.28,-1.04
-1.229e-02,0.76,-1.04
-1.227e-02,1.2,-1.02
-1.226e-02,1.6,-1.04
-1.224e-02,1.88,-1.06
-1.222e-02,2.12,-1.04
-1.221e-02,2.28,-1.06
-1.219e-02,2.24,-1.06
-1.218e-02,2.12,-1.04
-1.216e-02,1.92,-1
-1.214e-02,1.6,-0.98
-1.213e-02,1.24,-0.92
-1.211e-02,0.8,-0.86
-1.210e-02,0.36,-0.74
-1.208e-02,-0.04,-0.64
-1.206e-02,-0.4,-0.5
-1.205e-02,-0.76,-0.38
-1.203e-02,-1.04,-0.24
-1.202e-02,-1.2,-0.1
-1.200e-02,-1.36,0.02
-1.198e-02,-1.44,0.16
-1.197e-02,-1.56,0.3
-1.195e-02,-1.52,0.42
-1.194e-02,-1.52,0.54
-1.192e-02,-1.52,0.66
-1.190e-02,-1.44,0.78
-1.189e-02,-1.4,0.86
-1.187e-02,-1.28,0.92
-1.186e-02,-1.08,0.98
-1.184e-02,-0.88,1.02
-1.182e-02,-0.64,1.06
-1.181e-02,-0.24,1.08
-1.179e-02,0.12,1.08
-1.178e-02,0.56,1.04
-1.176e-02,0.92,1.02
-1.174e-02,1.32,0.94
-1.173e-02,1.68,0.88
-1.171e-02,1.96,0.78
-1.170e-02,2.16,0.7
-1.168e-02,2.28,0.58
-1.166e-02,2.32,0.46
-1.165e-02,2.28,0.36
-1.163e-02,2.2,0.24
-1.162e-02,2.12,0.14
-1.160e-02,1.96,0.02
-1.158e-02,1.84,-0.06
-1.157e-02,1.76,-0.16
-1.155e-02,1.68,-0.26
-1.154e-02,1.64,-0.34
-1.152e-02,1.64,-0.44
-1.150e-02,1.68,-0.54
-1.149e-02,1.76,-0.62
-1.147e-02,1.84,-0.74
-1.146e-02,1.96,-0.82
-1.144e-02,2.08,-0.92
-1.142e-02,2.2,-1.02
-1.141e-02,2.24,-1.12
-1.139e-02,2.24,-1.2
-1.138e-02,2.2,-1.3
-1.136e-02,2.04,-1.38
-1.134e-02,1.76,-1.42
-1.133e-02,1.4,-1.48
-1.131e-02,0.96,-1.52
-1.130e-02,0.44,-1.5
-1.128e-02,-0.04,-1.48
-1.126e-02,-0.48,-1.44
-1.125e-02,-0.84,-1.4
-1.123e-02,-1.04,-1.32
-1.122e-02,-1.08,-1.24
-1.120e-02,-0.92,-1.18
-1.118e-02,-0.72,-1.1
-1.117e-02,-0.32,-1.06
-1.115e-02,0.12,-1
-1.114e-02,0.6,-0.98
-1.112e-02,1.04,-0.94
-1.110e-02,1.48,-0.94
-1.109e-02,1.8,-0.92
-1.107e-02,2.08,-0.92
-1.106e-02,2.28,-0.9
-1.104e-02,2.32,-0.9
-1.102e-02,2.24,-0.88
-1.101e-02,2.16,-0.86
-1.099e-02,1.96,-0.82
-1.098e-02,1.64,-0.76
-1.096e-02,1.28,-0.68
-1.094e-02,0.96,-0.6
-1.093e-02,0.6,-0.52
-1.091e-02,0.28,-0.4
-1.090e-02,-0.08,-0.3
-1.088e-02,-0.32,-0.18
-1.086e-02,-0.56,-0.06
-1.085e-02,-0.76,0.04
-1.083e-02,-0.88,0.18
-1.082e-02,-1,0.3
-1.080e-02,-1.04,0.4
-1.078e-02,-1.04,0.5
-1.077e-02,-1,0.58
-1.075e-02,-0.84,0.68
-1.074e-02,-0.8,0.74
-1.072e-02,-0.56,0.8
-1.070e-02,-0.32,0.82
-1.069e-02,-0.12,0.86
-1.067e-02,0.2,0.86
-1.066e-02,0.6,0.84
-1.064e-02,0.88,0.8
-1.062e-02,1.2,0.76
-1.061e-02,1.56,0.7
-1.059e-02,1.84,0.62
-1.058e-02,2.04,0.54
-1.056e-02,2.2,0.44
-1.054e-02,2.36,0.32
-1.053e-02,2.4,0.22
-1.051e-02,2.44,0.1
-1.050e-02,2.48,0
-1.048e-02,2.4,-0.1
-1.046e-02,2.4,-0.22
-1.045e-02,2.36,-0.34
-1.043e-02,2.32,-0.44
-1.042e-02,2.36,-0.54
-1.040e-02,2.32,-0.66
-1.038e-02,2.32,-0.76
-1.037e-02,2.36,-0.86
-1.035e-02,2.32,-0.98
-1.034e-02,2.28,-1.06
-1.032e-02,2.12,-1.16
-1.030e-02,1.96,-1.24
-1.029e-02,1.68,-1.3
-1.027e-02,1.36,-1.36
-1.026e-02,0.92,-1.38
-1.024e-02,0.48,-1.4
-1.022e-02,0,-1.4
-1.021e-02,-0.44,-1.38
-1.019e-02,-0.8,-1.34
-1.018e-02,-1.08,-1.3
